Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
12/3/13,29766,5907297,42.165,"10,670,729",95140,69,252
12/4/13,30472,5937769,43.92,"10,714,650",95197,57,252
12/5/13,29222,5966991,41.99,"10,756,639",95250,53,311
12/6/13,11626,5978617,14.674,"10,771,314",95296,46,62
12/7/13,16868,5995485,24.381,"10,795,695",95334,38,456
12/8/13,10892,6006377,14.17,"10,809,865",95354,20,180
12/9/13,16192,6022569,20.537,"10,830,402",95401,35,58
12/10/13,13947,6036516,17.766,"10,848,168",95418,34,39
12/11/13,20369,6056885,25.839,"10,874,007",95444,26,93
12/12/13,18552,6075437,23.242,"10,897,249",95479,35,69
12/13/13,19381,6094818,25.662,"10,922,911",95507,28,161
12/14/13,3983,6098801,5.072,"10,927,983",95516,9,39
12/15/13,8127,6106928,10.192,"10,938,175",95535,19,76
12/16/13,16842,6123770,21.353,"10,959,528",95568,33,67
12/17/13,8552,6132322,11.009,"10,970,536",95596,28,15
12/18/13,16246,6148568,21.251,"10,991,787",95628,32,89
12/19/13,20309,6168877,26.954,"11,018,742",95662,34,157
12/20/13,23849,6192726,33.51,"11,052,252",95687,25,365
12/21/13,19362,6212088,32.36,"11,084,612",95723,36,962
12/22/13,16338,6228426,26.291,"11,110,903",95765,42,741
12/23/13,7516,6235942,9.407,"11,120,309",95793,28,70
12/24/13,11971,6247913,15.563,"11,135,872",95823,30,175
12/25/13,3523,6251436,5.458,"11,141,330",95869,46,184
12/26/13,10570,6262006,13.556,"11,154,886",95920,51,134
12/27/13,12649,6274655,17.629,"11,172,515",95969,49,279
12/28/13,12867,6287522,21.988,"11,194,503",96005,36,821
12/29/13,4070,6291592,4.986,"11,199,489",96032,27,104
12/30/13,14222,6305814,19.982,"11,219,471",96084,52,336
12/31/13,11349,6317163,14.856,"11,234,326",96125,41,237Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
1/1/14,6559,6323722,9.254,"11,243,581",95971,29,268,10
1/2/14,9334,6333056,11.736,"11,255,317",96000,42,66,3
1/3/14,1288,6334344,1.855,"11,257,172",96042,23,1,1
1/4/14,2494,6336838,3.706,"11,260,878",96065,19,14,1
1/5/14,2937,6339775,3.72,"11,264,598",96084,18,17,4
1/6/14,10481,6350256,13.016,"11,277,613",96102,22,30,7
1/7/14,7144,6357400,8.2,"11,285,814",96124,28,5,4
1/8/14,10162,6367562,11.768,"11,297,582",96152,19,28,4
1/9/14,14571,6382133,18.401,"11,315,983",96171,18,74,10
1/10/14,10685,6392818,13.433,"11,329,416",96189,36,49,5
1/11/14,8333,6401151,10.735,"11,340,151",96225,22,101,16
1/12/14,13549,6414700,19.141,"11,359,291",96247,29,350,22
1/13/14,22377,6437077,30.829,"11,390,121",96276,72,224,31
1/14/14,10849,6447926,13.271,"11,403,392",96348,43,45,4
1/15/14,23500,6471426,32.303,"11,435,695",96391,62,241,30
1/16/14,21528,6492954,28.807,"11,464,502",96453,56,208,37
1/17/14,21840,6514794,30.773,"11,495,275",96509,67,282,34
1/18/14,10222,6525016,14.596,"11,509,870",96576,40,176,15
1/19/14,9768,6534784,13.591,"11,523,461",96616,38,194,13
1/20/14,14581,6549365,20.103,"11,543,564",96654,47,133,11
1/21/14,4171,6553536,5.429,"11,548,993",96701,32,5,1
1/22/14,2762,6556298,4.061,"11,553,054",96733,8,4,3
1/23/14,5743,6562041,8.336,"11,561,390",96741,16,9,1
1/24/14,6901,6568942,9.375,"11,570,765",96757,13,15,6
1/25/14,4716,6573658,6.004,"11,576,770",96770,14,34,0
1/26/14,5462,6579120,6.691,"11,583,461",96784,20,37,6
1/27/14,14304,6593424,18.127,"11,601,588",96804,26,55,18
1/28/14,11066,6604490,13.722,"11,615,310",96830,22,18,7
1/29/14,10838,6615328,13.394,"11,628,704",96852,33,21,6
1/30/14,13198,6628526,16.914,"11,645,618",96885,27,42,7
1/31/14,15886,6644412,21.541,"11,667,159",96912,23,130,10
2/1/14,13797,6658209,20.707,"11,687,866",96935,23,349,29
2/2/14,15009,6673218,22.915,"11,710,781",96958,40,449,10
2/3/14,2839,6676057,3.635,"11,714,416",96998,27,4,2
2/4/14,9551,6685608,12.708,"11,727,124",97025,21,37,2
2/5/14,3076,6688684,4.603,"11,731,727",97046,15,8,1
2/6/14,8227,6696911,12.641,"11,744,368",97061,21,25,9
2/7/14,9473,6706384,14.206,"11,758,574",97082,12,36,5
2/8/14,6640,6713024,9.563,"11,768,137",97094,15,71,1
2/9/14,5527,6718551,7.806,"11,775,942",97109,19,47,6
2/10/14,7643,6726194,10.867,"11,786,809",97128,26,16,3
2/11/14,9258,6735452,12.57,"11,799,379",97154,20,22,4
