,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
76,12/16/17,19060.0,38766.0,252992.0,240.0,24.0,200,11/1/17 7:04,11/1/17 7:07,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31910,Subscriber,1991.0,1
77,12/17/17,22403.0,49790.0,253011.0,343.0,27.0,414,11/1/17 7:04,11/1/17 7:11,3639,Harborside,40.71925170000001,-74.034234,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,31817,Subscriber,1979.0,1
78,12/18/17,40168.0,79914.0,253054.0,409.0,34.0,1498,11/1/17 7:05,11/1/17 7:30,3198,Heights Elevator,40.74871595,-74.04044329999999,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,31765,Subscriber,1962.0,1
79,12/19/17,49503.0,97301.0,253087.0,541.0,42.0,413,11/1/17 7:06,11/1/17 7:12,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3185,City Hall,40.717732500000004,-74.04384499999999,30643,Subscriber,1977.0,1
80,12/20/17,41461.0,78833.0,253142.0,422.0,40.0,312,11/1/17 7:07,11/1/17 7:13,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,26251,Subscriber,1969.0,2
81,12/21/17,37592.0,70297.0,253180.0,386.0,47.0,272,11/1/17 7:08,11/1/17 7:12,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,31833,Subscriber,1988.0,1
82,12/22/17,34338.0,62387.0,253212.0,506.0,23.0,217,11/1/17 7:09,11/1/17 7:13,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,31735,Subscriber,1982.0,1
83,12/23/17,9608.0,24205.0,253228.0,112.0,10.0,239,11/1/17 7:10,11/1/17 7:14,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29681,Subscriber,1969.0,1
84,12/24/17,13215.0,37985.0,253250.0,492.0,39.0,110,11/1/17 7:10,11/1/17 7:12,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.71925170000001,-74.034234,18533,Subscriber,1970.0,1
85,12/25/17,6479.0,26767.0,253293.0,439.0,27.0,129,11/1/17 7:11,11/1/17 7:13,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,31836,Subscriber,1974.0,1
